Time,Displacement,Force,Cycle count
(s),(mm),(N),
"0.0000","0.00000","-0.00126","0.0000"
"0.0200","0.02958","0.02781","0.0000"
"0.0400","0.12994","0.10091","0.0000"
"0.0600","0.25443","0.08972","0.0000"
"0.0800","0.37525","0.04274","0.0000"
"0.1000","0.48858","0.02985","0.0000"
"0.1200","0.59676","0.03081","0.0000"
"0.1400","0.70165","0.04489","0.0000"
"0.1600","0.80478","0.05062","0.0000"
"0.1800","0.90667","0.04582","0.0000"
"0.2000","1.00793","0.05717","0.0000"
"0.2200","1.10868","0.06965","0.0000"
"0.2400","1.20915","0.07180","0.0000"
"0.2600","1.30951","0.07586","0.0000"
"0.2800","1.40975","0.08263","0.0000"
"0.3000","1.50983","0.08987","0.0000"
"0.3200","1.60984","0.09417","0.0000"
"0.3400","1.70986","0.10024","0.0000"
"0.3600","1.80982","0.10780","0.0000"
"0.3800","1.90984","0.11400","0.0000"
"0.4000","2.00991","0.11676","0.0000"
"0.4200","2.10987","0.12385","0.0000"
"0.4400","2.20989","0.13058","0.0000"
"0.4600","2.30996","0.13361","0.0000"
"0.4800","2.40998","0.14249","0.0000"
"0.5000","2.50994","0.14740","0.0000"
"0.5200","2.60990","0.15438","0.0000"
"0.5400","2.70986","0.16219","0.0000"
"0.5600","2.80987","0.16847","0.0000"
"0.5800","2.90989","0.17515","0.0000"
"0.6000","3.00991","0.18206","0.0000"
"0.6200","3.10998","0.18683","0.0000"
"0.6400","3.20994","0.19329","0.0000"
"0.6600","3.30990","0.20035","0.0000"
"0.6800","3.41003","0.20633","0.0000"
"0.7000","3.50999","0.21231","0.0000"
"0.7200","3.60995","0.21819","0.0000"
"0.7400","3.70997","0.22505","0.0000"
"0.7600","3.80993","0.23087","0.0000"
"0.7800","3.90994","0.23794","0.0000"
"0.8000","4.00996","0.24159","0.0000"
"0.8200","4.10992","0.24606","0.0000"
"0.8400","4.20994","0.25273","0.0000"
"0.8600","4.30995","0.25959","0.0000"
"0.8800","4.40997","0.26416","0.0000"
"0.9000","4.50993","0.26949","0.0000"
"0.9200","4.60995","0.27455","0.0000"
"0.9400","4.70985","0.27848","0.0000"
"0.9600","4.80992","0.28351","0.0000"
"0.9800","4.90988","0.28952","0.0000"
"1.0000","5.00990","0.29684","0.0000"
